seqnames	start	end	gene
1	151803849	151804848	RORC
1	152285434	152286433	FLG-AS1
1	153605957	153606956	CHTOP
1	153894952	153895951	GATAD2B
1	154127093	154128092	NUP210L
1	154377168	154378167	IL6R
1	154842255	154843254	KCNN3
1	154928140	154929139	PBXIP1
1	155050847	155051846	EFNA3
1	155531825	155532824	ASH1L
1	155579460	155580459	MSTO1
1	155828759	155829758	SYT11
1	156051836	156052835	LMNA
1	156541897	156542896	IQGAP3
1	156736773	156737772	PRCC
1	156889923	156890922	LRRC71
1	157567371	157568370	FCRL4
1	157811135	157812134	CD5L
1	158656007	158657006	SPTA1
1	158979181	158980180	IFI16
1	159769800	159770799	FCRL6
1	159914887	159915886	IGSF9
1	160039552	160040551	KCNJ10
1	160159784	160160783	CASQ1
1	160312855	160313854	COPA
1	160832193	160833192	CD244
1	161087367	161088366	PFDN2
1	161735533	161736532	ATF6
1	162039080	162040079	NOS1AP
1	162601727	162602726	DDR2
1	163291082	163292081	RGS5
1	163291222	163292221	NUF2
1	165325453	165326452	LMX1A
1	165414093	165415092	RXRG
1	165550893	165551892	LOC400794
1	165796231	165797230	UCK2
1	166135493	166136492	FAM78B
1	166572652	166573651	FMO9P
1	166944318	166945317	MAEL
1	167189565	167190564	POU2F1
1	167598929	167599928	RCSD1
1	167905808	167906807	MPC2
1	167905296	167906295	DCAF6
1	168147582	168148581	TIPRL
1	168697943	168698942	DPT
1	169055744	169056743	LINC00970
1	169075446	169076445	ATP1B1
1	169336702	169337701	NME7
1	169336616	169337615	BLZF1
1	170043380	170044379	KIFAP3
1	170114687	170115686	METTL11B
1	170632812	170633811	PRRX1
1	171153846	171154845	FMO2
1	171282821	171283820	FMO4
1	171710880	171711879	VAMP4
1	173445795	173446794	LOC100506023
1	173430002	173431001	LOC101928673
1	173571734	173572733	SLC9C2
1	173793296	173794295	DARS2
1	173961711	173962710	RC3H1
1	174128051	174129050	RABGAP1L
1	174968070	174969069	CACYBP
1	175712253	175713252	TNR
1	176431806	176432805	PAPPA2
1	177133541	177134540	ASTN1
1	178006643	178007642	LOC730102
1	178693781	178694780	RALGPS2
1	178994438	178995437	FAM20B
1	179198320	179199319	ABL2
1	179334354	179335353	AXDND1
1	179560247	179561246	TDRD5
1	179696397	179697396	FAM163A
1	179846442	179847441	TOR1AIP2
1	179923407	179924406	CEP350
1	180198932	180199931	LHX4
1	180600645	180601644	XPR1
1	181002060	181003059	MR1
1	181452185	181453184	CACNA1E
1	182282697	182283696	LINC01344
1	182807938	182808937	DHX9
1	182992094	182993093	LAMC1
1	183387135	183388134	NMNAT2
1	183604681	183605680	RGL1
1	184020284	184021283	TSEN15
1	184723542	184724541	EDEM3
1	184943219	184944218	FAM129A
1	185125691	185126690	SWT1
1	185703182	185704181	HMCN1
1	186344389	186345388	C1orf27
1	186797531	186798530	PLA2G4A
1	187258687	187259686	LINC01036
1	187412259	187413258	LINC01037
1	190446513	190447512	BRINP3
1	190446889	190447888	LINC01351
1	190593519	190594518	LINC01720
1	192127091	192128090	RGS18
1	193075166	193076165	GLRX2
1	193090587	193091586	CDC73
1	193273374	193274373	LINC01031
1	196577062	196578061	KCNT2
1	196856643	196857642	CFHR4
1	197170091	197171090	CRB1
1	197744124	197745123	DENND1B
1	198607597	198608596	PTPRC
1	198906059	198907058	MIR181A1HG
1	198987594	198988593	LINC01222
1	199996229	199997228	NR5A2
1	200589363	200590362	KIF14
1	200708185	200709184	CAMSAP2
1	201081195	201082194	CACNA1S
1	201159452	201160451	IGFN1
1	201475888	201476887	CSRP1
1	201616949	201617948	NAV1
1	201798188	201799187	IPO9-AS1
1	201797787	201798786	IPO9
1	201979189	201980188	ELF3
1	202113372	202114371	ARL8A
1	202162617	202163616	LGR6
1	202679052	202680051	SYT2
1	202778099	202779098	KDM5B
1	202995148	202996147	PPFIA4
1	203595414	203596413	ATP2B4
1	203764164	203765163	ZC3H11A
1	204041745	204042744	SOX13
1	204328558	204329557	PLEKHA6
1	204654098	204655097	LRRN2
1	204797281	204798280	NFASC
1	205180228	205181227	DSTYK
1	205390715	205391714	LEMD1
1	206680362	206681361	RASSF5
1	207094879	207095878	FCMR
1	207225826	207226825	YOD1
1	207668972	207669971	CR1
1	207817957	207818956	CR1L
1	208417166	208418165	PLXNA2
1	209915408	209916407	LOC101930114
1	209979021	209980020	IRF6
1	210111018	210112017	SYT14
1	211306958	211307957	KCNH1
1	212003615	212004614	LPGAT1
1	212208503	212209502	INTS7
1	212458378	212459377	PPP2R5A
1	213224074	213225073	RPS6KC1
1	214158997	214159996	PROX1-AS1
1	214160777	214161776	PROX1
1	214724525	214725524	PTPN14
1	214776031	214777030	CENPF
1	215178384	215179383	KCNK2
1	215740221	215741220	KCTD3
1	217803945	217804944	GPATCH2
1	217804165	217805164	SPATA17
1	218458128	218459127	RRP15
1	219346631	219347630	LYPLAL1-AS1
1	219730167	219731166	LOC102723886
1	220445344	220446343	RAB3GAP2
1	220701024	220702023	MARK1
1	220959538	220960537	MARC1
1	221915019	221916018	DUSP10
1	222790943	222791942	MIA3
1	222987930	222988929	DISP1
1	223537045	223538044	SUSD4
1	223852937	223853936	CAPN8
1	224033175	224034174	TP53BP2
1	224621841	224622840	CNIH3
1	225840346	225841345	ENAH
1	225965014	225966013	SRP9
1	226373924	226374923	ACBD3
1	226736000	226736999	STUM
1	226926377	226927376	ITPKB
1	227127437	227128436	COQ8A
1	227505327	227506326	CDC42BPA
1	227750719	227751718	ZNF678
1	227915368	227916367	SNAP47
1	228194222	228195221	WNT3A
1	228395330	228396329	OBSCN
1	228779893	228780892	RHOU
1	229761462	229762461	URB2
1	230193035	230194034	GALNT2
1	230561175	230562174	PGBD5
1	230777701	230778700	COG2
1	231114119	231115118	TTC13
1	231298173	231299172	TRIM67
1	231473119	231474118	EXOC8
1	231762060	231763059	DISC1
1	233430960	233431959	PCNX2
1	234039957	234040956	SLC35F3
1	235291757	235292756	TOMM20
1	235491035	235492034	ARID4B
1	235530174	235531173	TBCE
1	235667282	235668281	B3GALNT2
1	235813555	235814554	GNG4
1	236227982	236228981	NID1
1	236305331	236306330	GPR137B
1	236557179	236558178	EDARADD
1	236681013	236682012	LGALS8
1	236767342	236768341	HEATR1
1	237205201	237206200	RYR2
1	239549729	239550728	CHRM3
1	240254684	240255683	FMN2
1	241694933	241695932	KMO
1	241815079	241816078	WDR64
1	242687499	242688498	PLD5
1	243418209	243419208	CEP170
1	243418806	243419805	SDCCAG8
1	244006085	244007084	AKT3
1	244080203	244081202	LOC339529
1	244614937	244615936	ADSS
1	244624172	244625171	C1orf101
1	244815849	244816848	DESI2
1	245133130	245134129	EFCAB2
1	246729138	246730137	CNST
1	247094781	247095780	AHCTF1
1	247241616	247242615	ZNF670-ZNF695
1	247241616	247242615	ZNF670
1	247334820	247335819	ZNF124
1	247578957	247579956	NLRP3
1	247669859	247670858	GCSAML
1	248099830	248100829	OR2L13
1	11373	12372	DDX11L1
1	28871	29870	WASH7P
1	16937	17936	MIR6859-1
1	29865	30864	MIR1302-2
1	35582	36581	FAM138A
1	68590	69589	OR4F5
1	140067	141066	LOC729737
1	323391	324390	LOC100132287
1	367158	368157	OR4F29
1	563890	564889	LOC101928626
1	567294	568293	MIR6723
1	621535	622534	OR4F16
1	665232	666231	LOC100133331
1	713569	714568	LOC100288069
1	752250	753249	FAM87B
1	762403	763402	LINC00115
1	811683	812682	FAM41C
1	854573	855572	LOC100130417
1	860620	861619	SAMD11
1	894180	895179	NOC2L
1	895466	896465	KLHL17
1	901376	902375	PLEKHN1
1	916998	917997	PERM1
1	935053	936052	HES4
1	948346	949345	ISG15
1	955002	956001	AGRN
1	1009188	1010187	RNF223
1	1071896	1072895	LINC01342
1	1101983	1102982	MIR200B
1	1102742	1103741	MIR200A
1	1103884	1104883	MIR429
1	1108785	1109784	TTLL10
1	1141590	1142589	TNFRSF18
1	1149049	1150048	TNFRSF4
1	1166948	1167947	SDF4
1	1167128	1168127	B3GALT6
1	1208735	1209734	UBE2J2
1	1215315	1216314	SCNN1D
1	1242770	1243769	ACAP3
1	1231051	1232050	MIR6726
1	1243459	1244458	PUSL1
1	1259568	1260567	INTS11
1	1247447	1248446	MIR6727
1	1259642	1260641	CPTP
1	1266225	1267224	TAS1R3
1	1283993	1284992	DVL1
1	1274589	1275588	MIR6808
1	1298422	1299421	MXRA8
1	1334219	1335218	CCNL2
1	1334409	1335408	LOC148413
1	1342194	1343193	MRPL20
1	1356325	1357324	ANKRD65
1	1361007	1362006	TMEM88B
1	1369454	1370453	LINC01770
1	1370402	1371401	VWA1
1	1384568	1385567	ATAD3C
1	1406634	1407633	ATAD3B
1	1447022	1448021	ATAD3A
1	1475241	1476240	TMEM240
1	1509763	1510762	SSU72
1	1534977	1535976	FNDC10
1	1550294	1551293	MIB2
1	1567059	1568058	MMP23B
1	1623744	1624743	SLC35E2B
1	1630877	1631876	MMP23A
1	1655505	1656504	CDK11A
1	1676939	1677938	SLC35E2
1	1822057	1823056	GNB1
1	1845765	1846764	CALML6
1	1850241	1851240	TMEM52
1	1934777	1935776	CFAP74
1	1950267	1951266	GABRD
1	1981010	1982009	LOC105378591
1	2138673	2139672	FAAP20
1	2322691	2323690	MORN1
1	2283601	2284600	LOC100129534
1	2322713	2323712	RER1
1	2343511	2344510	PEX10
1	2398397	2399396	PLCH2
1	2457568	2458567	PANK4
1	2461185	2462184	HES5
1	2487951	2488950	LOC115110
1	2497473	2498472	LOC100996583
1	2517398	2518397	FAM213B
1	2563982	2564981	MMEL1
1	2937545	2938544	ACTRT2
1	2983790	2984789	LINC00982
1	3044038	3045037	MIR4251
1	3370646	3371645	ARHGEF16
1	3476855	3477854	MIR551A
1	3541055	3542054	TPRG1L
1	3566172	3567171	WRAP73
1	3568628	3569627	TP73
1	3663438	3664437	TP73-AS1
1	3688824	3689823	SMIM1
1	3712569	3713568	LRRC47
1	3773298	3774297	CEP104
1	3816358	3817357	C1orf174
1	3816467	3817466	LINC01134
1	4000171	4001170	LINC01346
1	4471610	4472609	LINC01777
1	5623630	5624629	MIR4417
1	5922302	5923301	MIR4689
1	6239695	6240694	CHD5
1	6259180	6260179	RPL22
1	6265341	6266340	LOC102724450
1	6265688	6266687	RNF207
1	6295799	6296798	LINC00337
1	6303751	6304750	HES3
1	6320536	6321535	GPR153
1	6479480	6480479	HES2
1	6484347	6485346	ESPN
1	6489457	6490456	MIR4252
1	6525756	6526755	TNFRSF25
1	6614159	6615158	NOL9
1	6614837	6615836	TAS1R1
1	6639550	6640549	ZBTB48
1	6662459	6663458	KLHL21
1	6673255	6674254	PHF13
1	6684709	6685708	THAP3
1	6761467	6762466	DNAJC11
1	6784304	6785303	LINC01672
1	7830828	7831827	VAMP3
1	7913052	7914051	UTS2
1	8021213	8022212	PARK7
1	8085894	8086893	ERRFI1
1	8268231	8269230	LINC01714
1	8484204	8485203	LOC102724552
1	8554474	8555473	SNORD128
1	8938652	8939651	ENO1
1	8926150	8927149	MIR6728
1	8938393	8939392	ENO1-AS1
1	9005392	9006391	CA6
1	9085905	9086904	SLC2A7
1	9131787	9132786	SLC2A5
1	9241898	9242897	MIR34AHG
1	9211337	9212336	MIR34A
1	9241762	9242761	LINC01759
1	9352440	9353439	SPSB1
1	9488556	9489555	LOC100506022
1	9599027	9600026	SLC25A33
1	9648431	9649430	TMEM201
1	9711289	9712288	PIK3CD
1	9714145	9715144	PIK3CD-AS1
1	9747133	9748132	PIK3CD-AS2
1	10002986	10003985	LZIC
1	10002480	10003479	NMNAT1
1	10026938	10027937	MIR5697
1	10056754	10057753	RBP7
1	10287275	10288274	MIR1273D
1	10458548	10459547	PGD
1	10489658	10490657	CENPS
1	10489658	10490657	APITD1-CORT
1	10509275	10510274	CORT
1	10532114	10533113	DFFA
1	11072178	11073177	TARDBP
1	11106797	11107796	MASP2
1	11119592	11120591	SRM
1	11159231	11160230	LOC105376736
1	11203454	11204453	MTOR-AS1
1	11248845	11249844	ANGPTL7
1	11332754	11333753	UBIAD1
1	11538794	11539793	DISP3
1	11669087	11670086	LINC01647
1	11714389	11715388	FBXO2
1	11713931	11714930	FBXO44
1	11723649	11724648	FBXO6
1	11751179	11752178	MAD2L2
1	11751280	11752279	DRAXIN
1	11821749	11822748	C1orf167
1	11839177	11840176	LOC102724659
1	11865661	11866660	MTHFR
1	11865652	11866651	CLCN6
1	11899875	11900874	NPPA-AS1
1	11907341	11908340	NPPA
1	11918493	11919492	NPPB
1	11967710	11968709	RNU5E-1
1	11985986	11986985	KIAA2013
1	11994223	11995222	PLOD1
1	12078798	12079797	MIIP
1	12088714	12089713	MIR6729
1	12226499	12227498	MIR7846
1	12226559	12227558	TNFRSF1B
1	12251269	12252268	MIR4632
1	12566799	12567798	SNORA59A
1	12677238	12678237	DHRS3
1	12638552	12639551	MIR6730
1	12775617	12776616	AADACL3
1	12805633	12806632	C1orf158
1	12834490	12835489	PRAMEF12
1	12851045	12852044	PRAMEF1
1	12890765	12891764	PRAMEF11
1	12908110	12909109	HNRNPCL1
1	12916440	12917439	PRAMEF2
1	12945526	12946525	PRAMEF4
1	12957602	12958601	PRAMEF10
1	12975966	12976965	PRAMEF7
1	13006907	13007906	PRAMEF6
1	13034998	13035997	PRAMEF18
1	13166694	13167693	PRAMEF34P
1	13183827	13184826	HNRNPCL2
1	13194017	13195016	PRAMEF36P
1	13219085	13220084	PRAMEF25
1	13359318	13360317	PRAMEF5
1	13408634	13409633	PRAMEF33P
1	13452157	13453156	PRAMEF13
1	13611034	13612033	PRAMEF8
1	13641472	13642471	PRAMEF15
1	13673012	13674011	PRAMEF14
1	13697906	13698905	PRAMEF19
1	13715591	13716590	PRAMEF17
